date,time,latitude,longitude,altitude (m)
01/05/2017,11:56:09,42.30986111111111,6.20625,403839.15625
01/05/2017,11:56:21,41.88280555555556,7.034694444444444,403745.03125
01/05/2017,11:56:34,41.41272222222222,7.9188888888888895,403642.9375
01/05/2017,11:56:46,40.97208333333334,8.722972222222221,403548.71875
01/05/2017,11:56:58,40.52525,9.515611111111111,403454.59375
01/05/2017,11:57:11,40.03433333333333,10.361611111111111,403352.84375
01/05/2017,11:57:23,39.57508333333334,11.131027777777778,403259.21875
01/05/2017,11:57:36,39.07116666666667,11.952305555555554,403158.25
01/05/2017,11:57:48,38.60027777777778,12.699277777777779,403065.53125
01/05/2017,11:58:00,38.124027777777776,13.435777777777778,402973.4375
01/05/2017,11:58:14,37.56188888888889,14.282055555555557,402866.875
01/05/2017,11:58:26,37.07461111111112,14.996583333333332,402776.375
01/05/2017,11:58:39,36.54127777777778,15.759527777777778,402679.40625
01/05/2017,11:58:51,36.04408333333333,16.453805555555554,402590.9375
01/05/2017,11:59:04,35.50033333333333,17.195305555555557,402496.375
01/05/2017,11:59:16,34.993805555555554,17.870194444444444,402410.34375
01/05/2017,11:59:28,34.48305555555556,18.53613888888889,402325.625
01/05/2017,11:59:41,33.92505555555555,19.24763888888889,402235.46875
01/05/2017,11:59:53,33.40586111111111,19.895527777777776,402153.84375
01/05/2017,12:00:05,32.882777777777775,20.535083333333336,402073.875
01/05/2017,12:00:18,32.31188888888889,21.21872222222222,401989.15625
01/05/2017,12:00:30,31.781166666666667,21.841527777777777,401912.90625
01/05/2017,12:00:42,31.246916666666667,22.456611111111112,401838.5625
01/05/2017,12:00:55,30.66436111111111,23.114444444444445,401760.3125
01/05/2017,12:01:07,30.12322222222222,23.714055555555554,401690.34375
01/05/2017,12:01:21,29.48788888888889,24.40461111111111,401611.5
01/05/2017,12:01:33,28.94,24.98902777777778,401546.46875
01/05/2017,12:01:46,28.343166666666665,25.614583333333336,401478.78125
01/05/2017,12:01:58,27.78927777777778,26.185222222222222,401418.9375
01/05/2017,12:02:10,27.232666666666663,26.74952777777778,401361.71875
01/05/2017,12:02:24,26.579944444444443,27.400138888888886,401298.40625
01/05/2017,12:02:38,25.923722222222224,28.04266666666667,401238.9375
01/05/2017,12:02:50,25.35863888888889,28.587166666666665,401191.125
01/05/2017,12:03:03,24.74377777777778,29.17077777777778,401142.75
01/05/2017,12:03:16,24.12625,29.748083333333334,401098.0
01/05/2017,12:03:29,23.506166666666665,30.31925,401057.03125
01/05/2017,12:03:41,22.931611111111113,30.841277777777776,401022.59375
01/05/2017,12:03:54,22.30686111111111,31.401305555555552,400989.09375
01/05/2017,12:04:06,21.728166666666667,31.913361111111108,400961.78125
01/05/2017,12:04:18,21.147583333333333,32.42088888888889,400937.9375
01/05/2017,12:04:32,20.46797222222222,33.00747222222222,400914.71875
01/05/2017,12:04:44,19.883583333333334,33.505694444444444,400898.78125
01/05/2017,12:04:57,19.24863888888889,34.04083333333333,400885.75
01/05/2017,12:05:11,18.56275,34.61205555555556,400876.71875
01/05/2017,12:05:23,17.97322222222222,35.09763888888889,400873.1875
01/05/2017,12:05:35,17.38225,35.57961111111111,400873.59375
01/05/2017,12:05:48,16.740472222222223,36.097861111111115,400878.59375
01/05/2017,12:06:00,16.146666666666665,36.57280555555556,400887.4375
01/05/2017,12:06:13,15.501972222222221,37.08377777777778,400901.6875
01/05/2017,12:06:25,14.905611111111112,37.552277777777775,400919.21875
01/05/2017,12:06:37,14.308111111111112,38.01788888888889,400940.96875
01/05/2017,12:06:51,13.609638888888888,38.55763888888889,400971.75
01/05/2017,12:07:03,13.009833333333333,39.01744444444444,401002.84375
01/05/2017,12:07:16,12.358944444444445,39.51275,401041.4375
01/05/2017,12:07:28,11.757166666666667,39.96752777777778,401081.6875
01/05/2017,12:07:41,11.104277777777778,40.45769444444445,401130.28125
01/05/2017,12:07:53,10.50075,40.90797222222222,401179.84375
01/05/2017,12:08:05,9.896472222222222,41.35627777777778,401233.875
01/05/2017,12:08:19,9.190583333333334,41.87697222222222,401302.6875
01/05/2017,12:08:33,8.483805555555556,42.39533333333333,401377.71875
01/05/2017,12:08:45,7.8773333333333335,42.83791666666667,401447.0
01/05/2017,12:08:59,7.169083333333334,43.35241666666667,401533.625
01/05/2017,12:09:12,6.510805555555556,43.828583333333334,401619.71875
01/05/2017,12:09:24,5.902694444444445,44.26683333333333,401704.0
01/05/2017,12:09:38,5.19275,44.776777777777774,401808.21875
01/05/2017,12:09:50,4.583833333333333,45.21280555555556,401902.5625
01/05/2017,12:10:02,3.9746111111111113,45.647999999999996,402001.5625
01/05/2017,12:10:16,3.2635,46.154805555555555,402122.9375
01/05/2017,12:10:29,2.6029444444444447,46.62466666666667,402241.25
01/05/2017,12:10:41,1.9930277777777778,47.05788888888888,402355.3125
01/05/2017,12:10:53,1.383,47.490722222222225,402473.96875
01/05/2017,12:11:07,0.6711944444444444,47.99536111111111,402618.21875
01/05/2017,12:11:19,0.06105555555555556,48.427749999999996,402746.8125
01/05/2017,12:11:33,-0.65075,48.93216666666667,402902.59375
01/05/2017,12:11:47,-1.3624722222222223,49.43672222222222,403064.5
01/05/2017,12:11:59,-1.972388888888889,49.86944444444445,403208.15625
01/05/2017,12:12:12,-2.6329444444444445,50.33861111111111,403368.8125
01/05/2017,12:12:24,-3.2424444444444447,50.772166666666664,403521.6875
01/05/2017,12:12:37,-3.9024722222222223,51.242472222222226,403692.25
01/05/2017,12:12:49,-4.511416666666666,51.677305555555556,403854.1875
